Age,Overall,Potential,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST,Preferred Positions
25,72,76,4100000,39000,1725,70,80,73,64,71,73,56,58,73,74,43,65,28,80,40,64,11,64,70,69,63,73,19,72,64,24,72,58,75,67,44,47,69,59,67,46,44,59,47,69,66,71,68,49,67,46,44,59,47,69,66,71,68,49,71,ST
21,72,84,4900000,25000,1709,83,64,64,62,67,62,61,48,63,38,22,67,69,83,57,31,69,26,55,68,70,47,69,89,72,72,67,49,33,60,70,67,60,62,60,71,70,62,67,60,64,58,62,70,60,71,70,62,67,60,64,58,62,70,58,RB
29,72,72,3000000,5000,1789,78,46,83,91,77,71,74,74,76,62,75,46,42,54,63,41,48,72,62,63,76,39,32,75,64,51,38,75,62,71,49,58,68,67,71,57,49,67,58,68,72,61,71,61,71,57,49,67,58,68,72,61,71,61,61,CM
31,72,72,2100000,20000,1589,42,77,51,44,52,76,42,43,48,23,52,71,72,57,58,31,72,46,29,70,60,59,72,53,58,75,82,51,49,49,71,66,47,55,49,63,71,55,66,47,49,48,46,61,49,63,71,55,66,47,49,48,46,61,48,CB
20,72,81,4800000,16000,1705,75,49,76,84,74,64,70,71,78,70,61,44,32,66,63,63,20,59,69,65,72,58,17,67,62,20,45,70,49,71,38,49,70,65,71,47,38,65,49,70,71,65,72,52,71,47,38,65,49,70,71,65,72,52,65,RW
31,72,72,2100000,16000,1609,53,84,51,43,60,52,33,34,50,28,36,72,69,80,58,69,69,44,30,57,52,77,69,61,66,73,84,38,21,49,71,64,50,54,49,62,71,54,64,50,49,52,47,59,49,62,71,54,64,50,49,52,47,59,52,CB
25,72,76,4100000,9000,1769,75,75,72,58,75,66,67,49,73,68,39,66,23,56,47,66,25,63,70,73,59,75,40,81,75,27,73,58,76,67,47,50,70,60,67,53,47,60,50,70,69,71,70,55,67,53,47,60,50,70,69,71,70,55,71,ST
24,72,78,3600000,11000,1842,69,65,62,57,70,69,64,45,69,58,42,50,69,66,69,64,67,52,59,72,74,67,67,65,76,70,80,69,55,68,68,71,66,70,68,68,68,70,71,66,68,64,67,69,68,68,68,70,71,66,68,64,67,69,64,CM
20,72,86,7000000,39000,1727,78,45,75,75,72,59,53,54,75,60,49,45,46,60,70,60,36,42,69,64,76,62,32,76,70,44,69,68,52,71,49,58,69,68,71,55,49,68,58,69,70,65,69,58,71,55,49,68,58,69,70,65,69,58,65,CM
29,72,72,3000000,10000,1965,71,70,81,81,70,75,72,54,69,59,68,47,69,76,71,66,68,51,69,72,71,75,51,67,84,61,70,72,72,70,64,69,68,71,70,67,64,71,69,68,70,66,69,69,70,67,64,71,69,68,70,66,69,69,66,CDM
23,72,79,3700000,7000,1638,68,83,61,70,60,54,57,29,54,29,27,63,70,78,55,36,70,40,41,65,63,39,68,69,61,75,82,45,19,53,71,66,52,56,53,66,71,56,66,52,56,51,54,65,53,66,71,56,66,52,56,51,54,65,51,CB
33,72,72,2000000,4000,1850,63,82,67,75,68,72,58,64,65,73,57,71,28,76,58,72,40,65,67,73,67,75,33,71,73,44,82,72,66,68,54,56,69,65,68,53,54,65,56,69,67,71,67,55,68,53,54,65,56,69,67,71,67,55,71,ST
23,72,79,3700000,28000,1607,59,76,54,33,59,54,39,37,57,29,39,75,65,65,68,24,64,41,37,69,64,68,69,54,64,75,89,48,29,53,71,67,52,58,53,63,71,58,67,52,54,54,51,61,53,63,71,58,67,52,54,54,51,61,54,CB
23,72,79,3700000,7000,1917,83,70,83,77,68,66,61,47,70,61,42,63,67,81,62,65,70,51,60,63,66,64,70,90,79,73,75,68,31,68,70,69,67,67,68,71,70,67,69,67,69,66,68,70,68,71,70,67,69,67,69,66,68,70,66,RB
23,72,78,4300000,1000,1739,84,58,83,75,63,70,73,60,74,62,60,60,21,74,60,55,21,65,66,67,72,60,21,87,77,20,60,68,40,69,41,48,68,62,69,50,41,62,48,68,71,65,70,54,69,50,41,62,48,68,71,65,70,54,65,LM
33,72,72,1900000,3000,1772,53,48,75,74,75,73,73,68,75,58,74,42,30,68,71,72,25,75,60,71,76,72,21,72,64,23,58,76,70,71,41,52,69,68,71,48,41,68,52,69,70,64,70,53,71,48,41,68,52,69,70,64,70,53,64,CF
31,72,72,2700000,15000,1806,60,62,77,74,72,68,73,75,78,67,56,60,59,54,67,65,25,57,72,69,73,71,28,75,60,28,67,72,60,72,49,56,71,68,72,54,49,68,56,71,71,69,72,58,72,54,49,68,56,71,71,69,72,58,69,RM
26,72,74,3800000,12000,1897,75,59,81,64,73,61,72,72,73,70,73,56,33,70,71,73,42,70,66,56,73,74,36,77,77,35,70,71,65,71,49,56,70,67,71,55,49,67,56,70,71,69,71,58,71,55,49,67,56,70,71,69,71,58,69,CF
21,72,81,4800000,8000,1711,91,45,92,91,76,59,52,69,77,70,38,58,20,69,43,69,15,66,67,76,60,70,20,93,77,18,31,58,52,70,36,43,72,60,70,48,36,60,43,72,70,69,72,51,70,48,36,60,43,72,70,69,72,51,69,RM
25,72,75,4000000,17000,1868,65,83,70,51,75,73,68,69,72,71,59,74,45,74,69,69,28,67,67,65,72,75,42,64,66,53,72,64,66,69,57,60,70,67,69,57,57,67,60,70,69,71,69,59,69,57,57,67,60,70,69,71,69,59,71,CAM
33,72,72,1900000,4000,1729,82,31,71,72,71,72,74,63,75,61,64,44,45,66,66,55,21,45,66,66,72,61,27,81,61,26,73,71,62,70,43,52,69,65,70,52,43,65,52,69,71,65,71,56,70,52,43,65,52,69,71,65,71,56,65,LM
23,72,77,3500000,1000,1817,73,80,66,68,68,68,56,55,64,45,50,55,72,68,70,63,68,57,34,63,74,65,70,76,80,75,72,54,26,62,70,71,60,65,62,70,70,65,71,60,63,57,61,70,62,70,70,65,71,60,63,57,61,70,57,CB
26,72,73,3700000,8000,1680,76,73,80,75,76,67,64,51,80,68,49,37,29,34,57,57,30,64,69,68,67,64,14,76,61,17,59,68,55,71,39,49,70,63,71,46,39,63,49,70,71,66,72,51,71,46,39,63,49,70,71,66,72,51,66,RW
25,72,72,3400000,11000,1833,88,42,81,81,74,73,72,71,71,68,73,47,43,53,63,51,41,77,71,64,75,61,38,82,63,52,44,70,61,71,49,57,70,67,71,59,49,67,57,70,72,66,72,61,71,59,49,67,57,70,72,66,72,61,66,RM
28,72,72,2500000,13000,1883,64,72,68,57,70,64,72,62,72,48,50,70,75,80,63,58,75,40,68,66,75,59,70,63,71,76,78,57,46,66,74,72,65,68,66,71,74,68,72,65,67,64,66,71,66,71,74,68,72,65,67,64,66,71,64,CB
34,72,72,950000,21000,1833,59,70,53,60,63,62,64,45,44,55,63,77,70,88,63,68,68,67,53,69,46,84,71,65,54,72,81,57,52,56,71,64,58,58,56,66,71,58,64,58,56,63,57,63,56,66,71,58,64,58,56,63,57,63,63,CM
33,72,72,1200000,9000,1869,69,81,64,74,64,72,59,66,59,43,53,62,73,75,62,59,76,49,52,75,76,70,71,69,74,74,80,51,43,62,73,72,61,65,62,71,73,65,72,61,63,61,61,70,62,71,73,65,72,61,63,61,61,70,61,RB
31,72,72,2700000,36000,1929,65,47,78,67,73,70,72,69,75,69,68,52,59,50,68,70,56,71,69,68,69,72,59,66,87,63,72,73,68,71,60,66,70,71,71,66,60,71,66,70,71,68,71,68,71,66,60,71,66,70,71,68,71,68,68,RM
27,72,74,3000000,11000,1817,50,69,49,46,64,76,75,77,57,22,75,74,73,35,77,71,71,70,27,71,67,82,70,52,66,73,83,57,68,56,71,70,54,64,56,68,71,64,70,54,58,55,55,68,56,68,71,64,70,54,58,55,55,68,55,CB
30,72,72,2900000,25000,1944,74,81,74,66,73,78,59,67,70,71,38,75,53,85,62,64,43,70,74,78,71,74,49,71,81,53,76,70,66,71,62,64,72,69,71,62,62,69,64,72,71,73,71,63,71,62,62,69,64,72,71,73,71,63,73,LM
25,72,72,3400000,22000,1825,67,69,74,70,75,81,73,64,71,44,73,42,48,69,51,76,49,69,75,73,74,77,37,66,46,41,53,77,76,71,52,57,70,66,71,56,52,66,57,70,68,64,70,59,71,56,52,66,57,70,68,64,70,59,64,CAM
26,72,75,3900000,25000,1595,66,56,59,51,69,62,50,29,63,73,52,82,12,67,41,56,12,56,72,69,53,74,16,69,74,21,77,52,66,62,40,42,66,55,62,43,40,55,42,66,62,71,64,45,62,43,40,55,42,66,62,71,64,45,71,ST
22,72,78,4300000,75000,1704,66,54,71,75,69,62,50,50,65,71,73,71,22,75,35,74,14,75,73,62,62,82,20,72,63,16,78,48,67,63,41,42,67,55,63,43,41,55,42,67,62,71,65,46,63,43,41,55,42,67,62,71,65,46,71,ST
23,72,77,4100000,10000,1876,56,68,69,74,73,68,67,67,68,59,69,47,66,53,71,67,56,57,72,69,72,62,62,61,71,66,62,73,58,69,62,68,67,71,69,65,62,71,68,67,68,64,68,66,69,65,62,71,68,67,68,64,68,66,64,CDM
22,72,82,4900000,8000,1794,56,65,61,49,78,66,62,64,73,43,64,60,60,58,73,74,55,58,60,65,78,72,65,53,67,69,71,72,50,69,64,68,66,71,69,64,64,71,68,66,67,62,66,65,69,64,64,71,68,66,67,62,66,65,62,CDM
32,72,72,1800000,1000,1908,70,75,72,70,64,67,62,67,54,56,56,75,71,70,69,45,73,74,50,73,66,73,69,73,65,71,72,57,64,61,71,69,61,63,61,69,71,63,69,61,62,63,61,68,61,69,71,63,69,61,62,63,61,68,63,LB
30,72,72,2900000,8000,1868,78,61,79,70,72,63,66,68,74,67,69,58,43,65,58,73,31,72,75,75,64,72,34,77,67,36,72,65,74,70,50,55,71,65,70,55,50,65,55,71,70,71,72,57,70,55,50,65,55,71,70,71,72,57,71,LW
20,72,86,7000000,18000,1830,64,80,64,62,76,64,69,58,72,32,41,64,75,74,76,36,70,39,58,64,77,59,61,75,77,69,80,75,28,67,71,73,64,71,67,70,71,71,73,64,69,59,65,71,67,70,71,71,73,64,69,59,65,71,59,CDM
25,72,78,3600000,3000,1753,70,80,71,73,69,65,43,42,57,26,36,53,70,67,65,60,77,39,64,72,66,63,66,53,90,73,64,61,33,62,69,71,60,66,62,67,69,66,71,60,61,56,58,67,62,67,69,66,71,60,61,56,58,67,56,CM
30,72,72,2300000,3000,1842,63,65,60,69,70,72,63,64,66,43,50,64,72,71,73,56,68,63,62,73,73,69,69,44,82,71,64,64,42,65,68,71,63,69,65,68,68,69,71,63,65,61,63,69,65,68,68,69,71,63,65,61,63,69,61,CDM
24,72,78,4200000,20000,1874,68,65,70,72,72,63,67,40,71,58,45,60,75,80,68,59,71,52,60,71,74,62,71,74,80,69,49,72,48,69,68,71,67,71,69,72,68,71,71,67,70,64,68,72,69,72,68,71,71,67,70,64,68,72,64,CDM
26,72,74,3100000,10000,1570,53,66,40,53,61,55,43,27,47,30,41,77,69,67,57,33,66,45,38,66,64,52,65,55,58,73,91,44,30,51,71,65,50,56,51,63,71,56,65,50,52,52,49,61,51,63,71,56,65,50,52,52,49,61,52,CB
25,72,73,3700000,5000,1821,77,50,88,80,73,70,71,76,74,65,71,52,23,58,67,70,35,68,69,72,72,72,31,76,68,28,46,70,62,72,42,52,71,66,72,52,42,66,52,71,72,67,72,56,72,52,42,66,52,71,72,67,72,56,67,RW
33,72,72,2000000,14000,1938,87,45,92,88,75,70,73,84,74,73,60,67,45,74,70,69,25,71,70,81,76,61,32,85,80,33,42,68,77,75,47,56,74,70,75,59,47,70,56,74,76,71,76,62,75,59,47,70,56,74,76,71,76,62,71,RM
27,72,72,2600000,32000,1908,84,70,81,83,71,55,69,60,71,52,52,60,66,74,65,57,71,60,63,60,70,65,71,83,76,70,54,41,58,64,67,67,65,64,64,71,67,64,67,65,68,64,67,71,64,71,67,64,67,65,68,64,67,71,64,RM
22,72,82,5000000,18000,1694,66,74,65,61,71,63,40,58,68,74,29,69,29,71,45,63,25,57,75,74,61,73,17,75,75,27,74,58,65,66,46,49,69,60,66,47,46,60,49,69,65,71,66,49,66,47,46,60,49,69,65,71,66,49,71,ST
36,72,72,425000,4000,1922,38,72,53,69,73,79,69,72,66,65,75,64,73,72,77,71,67,75,61,68,78,76,61,35,67,68,55,78,66,69,67,71,66,73,69,65,67,73,71,66,66,64,65,66,69,65,67,73,71,66,66,64,65,66,64,CM
28,72,72,3100000,9000,1843,74,53,72,70,73,72,74,71,72,64,74,49,36,50,67,75,47,69,63,66,68,79,28,75,82,44,65,68,51,69,49,57,69,67,69,56,49,67,57,69,71,67,70,60,69,56,49,67,57,69,71,67,70,60,67,CAM
25,72,72,3400000,13000,1744,81,53,63,68,74,64,72,68,75,72,71,61,34,74,55,61,23,55,76,72,62,62,13,83,55,17,71,53,64,68,42,47,71,60,68,48,42,60,47,71,70,71,72,52,68,48,42,60,47,71,70,71,72,52,71,RM
30,72,72,3000000,8000,1779,67,69,70,66,68,69,57,51,65,73,49,71,25,74,44,61,29,83,74,74,65,75,31,77,65,32,66,69,76,68,48,50,70,61,68,50,48,61,50,70,67,71,68,52,68,50,48,61,50,70,67,71,68,52,71,ST
25,72,75,3900000,32000,1946,76,46,72,67,74,66,76,73,74,67,77,63,57,64,72,73,66,72,68,64,68,74,67,74,66,69,62,67,57,70,64,66,70,69,70,68,64,69,66,70,71,69,71,68,70,68,64,69,66,70,71,69,71,68,69,RB
22,72,77,4200000,15000,1604,78,26,84,83,80,66,66,62,80,53,61,20,21,48,64,52,24,56,65,65,72,50,24,73,64,20,46,69,54,71,33,47,68,64,71,47,33,64,47,68,71,59,71,52,71,47,33,64,47,68,71,59,71,52,59,CAM
26,72,72,2600000,71000,1948,78,69,79,80,70,62,71,68,71,59,56,52,67,66,59,74,66,59,62,74,66,80,73,80,76,69,54,49,56,66,66,67,67,65,66,71,66,65,67,67,68,66,69,71,66,71,66,65,67,67,68,66,69,71,66,RM
21,72,79,4400000,16000,1705,91,37,88,92,77,60,65,79,80,71,67,28,16,59,53,73,13,57,67,65,73,72,20,83,40,17,36,58,67,72,31,42,72,61,72,44,31,61,42,72,71,67,74,49,72,44,31,61,42,72,71,67,74,49,67,LM
24,72,78,3600000,1000,1923,70,70,74,68,70,64,63,59,64,58,54,56,71,69,70,74,69,44,63,74,75,78,63,73,80,68,73,57,55,67,68,71,67,69,67,69,68,69,71,67,68,67,67,70,67,69,68,69,71,67,68,67,67,70,67,CM
21,72,78,3600000,19000,1848,66,83,63,69,69,66,73,64,70,61,47,54,72,51,60,56,73,47,66,70,70,60,71,69,73,74,66,59,54,66,70,70,66,67,66,71,70,67,70,66,68,64,67,71,66,71,70,67,70,66,68,64,67,71,64,RB
35,72,72,1400000,2000,1715,67,65,75,75,72,70,49,56,67,73,59,76,38,74,57,67,24,65,74,71,68,68,20,63,33,17,71,67,55,69,46,49,70,61,69,44,46,61,49,70,65,71,68,46,69,44,46,61,49,70,65,71,68,46,71,ST
26,72,73,3000000,21000,1689,69,64,69,60,63,64,64,44,55,32,33,65,77,72,58,27,71,43,46,74,61,68,77,68,71,79,73,30,25,53,72,68,54,57,53,71,72,57,68,54,58,55,55,70,53,71,72,57,68,54,58,55,55,70,55,CB
22,72,80,3900000,21000,1816,83,68,84,85,71,72,73,48,72,32,41,52,64,83,58,39,66,47,52,68,70,53,70,79,85,67,60,48,41,62,66,67,61,63,62,71,66,63,67,61,67,56,64,72,62,71,66,63,67,61,67,56,64,72,56,LB
31,72,72,2100000,10000,1909,72,80,73,76,68,66,60,57,72,41,56,61,70,80,71,68,72,35,60,69,71,71,65,71,81,71,75,70,38,67,70,71,65,70,67,69,70,70,71,65,67,62,66,70,67,69,70,70,71,65,67,62,66,70,62,CM
27,72,74,3000000,15000,1792,56,73,66,59,63,59,59,67,57,46,37,70,75,80,69,59,73,46,36,67,72,70,71,64,63,70,68,47,47,58,71,69,57,62,58,68,71,62,69,57,59,58,57,67,58,68,71,62,69,57,59,58,57,67,58,CDM
25,72,72,3400000,21000,1762,82,40,88,87,72,70,66,40,75,70,65,65,37,66,44,65,41,65,74,77,62,72,26,81,63,26,45,54,68,68,45,49,71,60,68,53,45,60,49,71,69,71,72,56,68,53,45,60,49,71,69,71,72,56,71,ST
30,72,72,3000000,4000,1653,68,43,72,59,72,73,45,55,59,71,55,73,15,90,35,50,11,73,73,69,55,75,11,75,79,14,93,49,69,62,40,41,66,54,62,42,40,54,41,66,62,71,63,45,62,42,40,54,41,66,62,71,63,45,71,ST
27,72,72,2600000,32000,1941,89,66,81,84,68,68,67,66,67,32,54,52,70,86,64,48,67,54,63,72,67,70,68,88,85,68,67,60,62,65,67,68,64,66,65,71,67,66,68,64,68,61,66,72,65,71,67,66,68,64,68,61,66,72,61,RB
24,72,76,4100000,17000,1748,84,74,69,58,69,66,51,54,68,71,47,65,30,80,45,56,15,65,72,80,66,67,14,81,84,21,75,70,70,69,44,50,71,63,69,49,44,63,50,71,69,71,70,52,69,49,44,63,50,71,69,71,70,52,71,ST
30,72,72,2200000,32000,1706,68,58,64,76,65,64,57,33,59,27,22,76,68,80,61,34,76,44,53,73,63,47,79,68,70,77,77,58,21,58,73,69,57,62,58,71,73,62,69,57,60,55,58,69,58,71,73,62,69,57,60,55,58,69,55,CB
28,72,72,3200000,15000,1840,69,74,75,66,73,72,65,68,74,69,70,66,21,85,55,67,16,68,73,73,60,74,31,76,65,29,79,69,70,69,46,49,71,62,69,49,46,62,49,71,69,71,70,52,69,49,46,62,49,71,69,71,70,52,71,LM
27,72,72,2600000,12000,1895,85,69,82,82,64,73,73,65,66,30,34,57,73,82,67,49,60,53,65,71,65,60,69,86,81,71,70,61,50,64,68,68,62,65,64,71,68,65,68,62,67,59,65,72,64,71,68,65,68,62,67,59,65,72,59,LB
33,72,72,1300000,6000,1426,34,80,33,33,46,65,30,19,38,26,55,72,69,66,61,44,74,25,33,54,51,79,68,37,37,79,91,24,16,40,71,62,41,47,40,56,71,47,62,41,39,48,38,53,40,56,71,47,62,41,39,48,38,53,48,CB
24,72,75,3300000,4000,1876,62,86,83,84,66,67,45,56,57,45,45,68,80,93,68,49,66,48,48,69,67,67,74,60,83,69,70,65,49,61,72,71,59,66,61,68,72,66,71,59,60,59,58,67,61,68,72,66,71,59,60,59,58,67,59,CM
29,72,72,3100000,5000,1538,33,58,45,30,67,70,34,59,63,77,46,76,22,33,38,70,20,71,76,66,62,85,21,41,52,19,92,57,71,62,43,44,66,56,62,38,43,56,44,66,57,71,60,40,62,38,43,56,44,66,57,71,60,40,71,ST
20,72,82,5000000,17000,1872,73,60,74,68,76,72,64,59,77,56,56,58,65,71,76,66,56,42,68,67,74,72,61,71,60,65,59,70,62,71,63,67,70,71,71,65,63,71,67,70,71,67,70,66,71,65,63,71,67,70,71,67,70,66,67,CM
25,72,72,3400000,14000,1800,73,59,64,61,67,66,60,68,63,77,61,70,51,75,51,72,30,76,75,63,65,76,28,71,66,38,59,61,74,66,50,53,69,62,66,53,50,62,53,69,66,71,67,55,66,53,50,62,53,69,66,71,67,55,71,ST
27,72,72,2600000,11000,1868,65,73,55,53,66,65,72,58,64,54,57,73,71,62,67,65,70,54,54,67,69,69,72,65,78,71,81,59,53,63,71,70,63,66,63,70,71,66,70,63,65,64,63,70,63,70,71,66,70,63,65,64,63,70,64,LB
22,72,77,4200000,9000,1762,89,30,80,76,72,51,75,65,77,52,69,54,31,67,69,63,26,61,63,60,70,70,24,87,69,25,65,66,43,69,41,50,68,64,69,52,41,64,50,68,71,65,71,56,69,52,41,64,50,68,71,65,71,56,65,RW
24,72,75,3300000,29000,1334,50,72,34,49,55,65,25,15,43,11,20,76,76,62,53,19,74,23,15,68,54,38,73,52,48,75,69,21,13,40,71,63,39,47,40,62,71,47,63,39,42,41,39,58,40,62,71,47,63,39,42,41,39,58,41,CB
29,72,72,3000000,36000,1900,73,75,72,67,73,69,75,74,76,66,73,61,40,60,63,75,37,70,72,67,67,79,35,74,64,33,84,69,68,71,52,56,71,66,71,55,52,66,56,71,71,71,72,58,71,55,52,66,56,71,71,71,72,58,71,LM
28,72,72,2500000,4000,1906,68,84,59,62,65,75,50,47,63,63,47,71,75,77,61,65,70,54,65,73,67,60,69,76,82,75,81,63,60,65,74,71,66,67,65,70,74,67,71,66,65,67,64,69,65,70,74,67,71,66,65,67,64,69,67,CDM
24,72,76,3400000,5000,1880,83,65,71,70,71,69,59,53,62,49,55,58,80,87,71,62,67,51,62,71,73,71,65,65,67,71,59,68,51,67,69,71,66,69,67,69,69,69,71,66,67,63,66,69,67,69,69,69,71,66,67,63,66,69,63,CDM
24,72,79,3700000,23000,1959,71,57,80,74,72,72,62,58,74,64,56,57,70,73,71,69,72,54,64,72,74,69,66,77,76,70,77,69,45,71,69,71,70,71,71,70,69,71,71,70,71,68,70,71,71,70,69,71,71,70,71,68,70,71,68,CM
23,72,79,3700000,13000,1901,81,66,74,80,71,61,72,73,72,52,39,52,70,67,66,65,66,49,59,65,70,68,74,78,67,73,66,63,47,67,68,69,66,67,67,71,68,67,69,66,69,63,68,71,67,71,68,67,69,66,69,63,68,71,63,RWB
19,72,85,5000000,31000,1842,89,62,84,85,76,61,73,70,73,53,34,67,62,58,61,52,69,37,64,59,68,57,71,84,67,73,55,60,21,67,67,66,67,66,67,71,67,66,66,67,70,64,70,71,67,71,67,66,66,67,70,64,70,71,64,RM
29,72,72,3100000,7000,1727,82,33,71,71,75,66,55,63,73,66,64,75,44,72,61,56,12,65,72,77,65,61,13,82,62,12,73,55,62,68,42,48,70,62,68,48,42,62,48,70,69,71,70,51,68,48,42,62,48,70,69,71,70,51,71,CAM
25,72,75,3800000,7000,2004,75,78,82,88,73,75,67,68,71,59,70,59,68,69,69,70,63,67,71,75,71,72,62,77,82,71,63,70,43,71,67,70,71,71,71,70,67,71,70,71,71,68,71,71,71,70,67,71,70,71,71,68,71,71,68,RW
25,72,72,3400000,14000,1748,70,49,63,65,77,71,60,65,68,75,58,69,22,70,61,76,23,67,69,77,65,73,20,68,65,23,53,50,76,68,41,48,70,62,68,48,41,62,48,70,68,71,69,50,68,48,41,62,48,70,68,71,69,50,71,ST
30,72,72,2200000,27000,1833,66,71,71,62,64,69,70,63,65,27,40,73,71,75,61,50,71,55,59,70,65,66,75,73,78,73,79,39,47,58,72,68,58,61,58,71,72,61,68,58,62,59,60,71,58,71,72,61,68,58,62,59,60,71,59,RB
22,72,80,4600000,31000,1692,43,58,66,34,80,69,42,70,76,76,74,74,11,54,66,50,18,80,65,60,72,72,14,67,65,24,90,72,60,70,43,49,70,65,70,42,43,65,49,70,67,71,67,45,70,42,43,65,49,70,67,71,67,45,71,ST
33,72,72,1800000,35000,1995,68,83,63,67,69,74,68,65,70,65,62,67,76,78,75,67,68,56,59,75,75,74,73,66,78,66,77,70,66,69,72,73,68,71,69,71,72,71,73,68,70,68,68,72,69,71,72,71,73,68,70,68,68,72,68,CM
28,72,72,3100000,41000,1805,84,55,78,74,74,72,66,59,74,72,54,58,37,61,64,77,26,67,72,65,66,77,28,84,56,29,60,63,70,71,45,51,72,64,71,51,45,64,51,72,71,71,72,54,71,51,45,64,51,72,71,71,72,54,71,LM
30,72,72,3000000,40000,1724,64,56,74,65,74,74,55,36,64,72,31,79,36,81,60,64,23,73,71,70,62,77,14,68,64,22,77,65,66,67,46,50,69,62,67,47,46,62,50,69,66,71,67,49,67,47,46,62,50,69,66,71,67,49,71,ST
31,72,72,2100000,15000,1795,35,89,55,53,69,68,59,50,57,38,46,78,73,80,66,60,67,48,50,70,75,59,71,64,75,69,85,54,44,60,74,71,58,65,60,68,74,65,71,58,60,59,58,68,60,68,74,65,71,58,60,59,58,68,59,CM
28,72,72,2500000,7000,1551,65,80,61,71,42,66,49,13,30,40,36,72,72,76,36,27,70,52,25,66,54,40,70,68,71,71,83,31,23,42,71,61,43,46,42,65,71,46,61,43,46,47,44,62,42,65,71,46,61,43,46,47,44,62,47,CB
32,72,72,1800000,17000,1620,68,69,64,62,57,75,35,47,39,24,34,68,72,79,56,40,73,45,35,62,56,66,70,68,66,74,80,39,24,48,71,65,48,53,48,65,71,53,65,48,49,50,47,62,48,65,71,53,65,48,49,50,47,62,50,CB
33,72,72,1200000,4000,1915,72,70,70,59,69,77,70,67,65,45,53,66,71,70,69,68,69,59,66,71,71,70,72,75,73,73,71,50,60,65,71,70,65,67,65,71,71,67,70,65,67,64,66,71,65,71,71,67,70,65,67,64,66,71,64,RB
37,72,72,425000,6000,1974,35,68,64,61,73,79,78,82,69,67,86,60,68,68,74,71,65,82,70,75,75,75,66,36,62,68,75,77,64,70,68,70,68,72,70,65,68,72,70,68,68,67,67,67,70,65,68,72,70,68,68,67,67,67,67,CM
35,72,72,1400000,8000,1895,59,64,66,66,76,67,77,76,71,65,75,49,64,66,73,73,59,63,64,66,75,68,58,52,61,55,69,75,62,71,61,66,68,71,71,63,61,71,66,68,69,65,69,65,71,63,61,71,66,68,69,65,69,65,65,CM
22,72,79,4300000,17000,1911,78,64,86,78,78,65,68,60,80,68,48,45,55,64,67,53,63,62,69,72,74,60,68,78,74,66,54,68,57,73,62,67,72,71,73,68,62,71,67,72,74,67,73,70,73,68,62,71,67,72,74,67,73,70,67,CAM
23,72,75,3900000,1000,1972,77,81,76,88,73,67,60,66,67,60,68,46,73,45,71,71,70,63,63,70,73,71,64,74,86,73,56,66,63,69,67,72,68,71,69,70,67,71,72,68,69,65,68,71,69,70,67,71,72,68,69,65,68,71,65,CDM
23,72,80,4600000,12000,1884,80,62,82,70,74,68,59,56,76,71,56,64,47,83,54,66,48,57,68,67,68,78,42,86,74,46,68,66,57,71,56,58,72,65,71,60,56,65,58,72,71,71,72,61,71,60,56,65,58,72,71,71,72,61,71,LM
24,72,76,4100000,18000,1666,86,32,81,75,71,70,41,67,69,73,41,71,17,77,33,50,11,65,76,67,59,65,15,85,76,15,69,45,69,64,37,40,68,54,64,44,37,54,40,68,65,71,67,46,64,44,37,54,40,68,65,71,67,46,71,ST
25,72,75,3300000,20000,1582,68,67,57,56,56,60,34,35,34,30,27,64,75,81,68,35,73,31,30,62,71,55,77,65,68,75,73,34,30,49,71,68,47,56,49,67,71,56,68,47,50,49,47,64,49,67,71,56,68,47,50,49,47,64,49,CB
27,72,72,2600000,10000,1591,63,80,52,54,59,71,36,24,56,20,19,72,67,74,57,38,69,45,35,70,62,44,64,65,69,71,84,48,30,52,71,66,51,57,52,64,71,57,66,51,53,50,50,62,52,64,71,57,66,51,53,50,50,62,50,CB
27,72,73,2900000,25000,1844,69,75,67,70,70,70,71,63,70,29,40,66,70,66,66,58,71,52,55,71,70,69,73,71,71,74,64,55,39,63,70,70,62,66,63,71,70,66,70,62,65,59,63,71,63,71,70,66,70,62,65,59,63,71,59,LB
28,72,72,3100000,14000,1815,81,60,75,72,73,69,71,69,76,67,39,52,39,73,56,66,36,65,72,67,68,66,38,80,60,39,54,70,65,71,49,54,71,65,71,55,49,65,54,71,71,68,72,58,71,55,49,65,54,71,71,68,72,58,68,LW
26,72,74,3100000,6000,1720,64,73,70,67,65,63,50,43,60,32,35,64,75,77,64,28,71,54,35,65,72,57,72,72,63,74,65,65,33,59,71,70,56,63,59,68,71,63,70,56,59,53,57,67,59,68,71,63,70,56,59,53,57,67,53,RB
30,72,72,2900000,7000,1844,80,51,84,84,70,79,72,76,78,61,62,42,38,76,63,66,37,60,65,71,69,75,21,78,64,40,63,70,66,70,47,54,70,65,70,53,47,65,54,70,71,66,72,57,70,53,47,65,54,70,71,66,72,57,66,RM
